        ssal    whcol        ses tverb momed  vach
  1    3.117  46.0100   6.818000 27.11 6.254 39.53
  2    3.279  14.0400 -14.060000 26.05 5.242 28.86
  3    2.132 -27.1800 -14.510000 23.40 4.086 25.02
  4    2.821  57.2100   8.022000 23.93 6.689 34.63
  5    2.241  62.7900   8.896000 24.60 7.216 35.34
  6    2.873  17.7100  -9.227000 25.18 5.811 29.55
  7    2.379  20.0100  -9.601000 23.70 5.607 28.83
  8    2.936  51.9900   9.436000 28.16 6.936 40.64
  9    3.841  37.2500   1.569000 27.66 6.293 37.85
 10    1.889  32.9900  -5.815000 23.85 5.933 28.08
 11    1.892  32.8800  -2.051000 23.54 5.899 31.24
 12    3.468  22.0600   6.248000 28.10 6.097 40.40
 13    3.181  34.1600  10.940000 26.54 6.324 40.24
 14    1.976  33.4100   7.117000 23.71 6.168 35.66
 15    2.570  59.5100   7.564000 24.32 6.675 39.12
 16    2.999 -17.2400  -7.777000 26.57 4.716 30.30
 17    2.791  63.3400  18.990000 25.60 7.263 42.40
 18    2.777  76.6100  12.760000 24.79 7.228 43.07
 19    3.491  39.3900   2.064000 26.42 6.111 33.85
 20    3.100  49.0700  13.550000 26.55 6.333 42.48
 21    2.689  14.7500   3.237000 24.98 5.628 33.35
 22    2.624  40.3400 -14.780000 25.60 6.300 26.82
 23    2.133  43.5300  15.020000 26.66 6.520 43.36
 24    3.337  68.2900  11.830000 26.34 6.826 40.69
 25    2.731  39.1800   3.330000 26.08 6.124 38.15
 26    2.443  26.6000   3.270000 24.49 5.783 34.17
 27    2.460  68.2400   8.773000 23.99 6.494 40.79
 28    2.508  27.2200  -5.341000 25.27 6.023 31.18
 29    2.796  18.4800  -4.006000 24.08 5.696 28.18
 30    3.043  46.9000   1.847000 24.98 6.304 33.09
 31    2.378  75.5700  15.880000 23.87 7.084 43.57
 32    2.886  43.6100   5.887000 25.09 6.583 33.03
 33    2.395  58.8500  13.650000 26.51 7.017 41.97
 34    3.046  58.7600  14.920000 26.15 6.744 45.47
 35    2.839  25.4500   0.070890 27.41 6.114 38.75
 36    2.651  27.4500  -3.386000 26.43 5.770 35.22
 37    2.619  -0.5964  -5.976000 24.89 5.537 30.77
 38    2.408  60.6100  13.250000 27.51 6.822 46.27
 39    2.924  56.1100   8.368000 25.65 6.375 37.79
 40    1.746   1.0530 -15.200000 23.99 4.962 26.68
 41    2.859  63.2600  11.640000 25.90 6.499 40.85
 42    3.418  26.8900   4.604000 26.20 5.798 31.36
 43    1.955  48.5800   1.906000 23.07 6.174 35.01
 44    2.275  -1.6190   1.242000 24.99 5.154 36.83
 45    2.514  27.9600  -5.185000 24.77 6.309 32.79
 46    2.369  31.7200   4.669000 23.13 6.246 36.08
 47    2.080   7.3340 -11.130000 22.87 5.068 25.34
 48    2.704  77.5700  17.090000 25.99 7.086 45.14
 49    2.723 -10.2900  -9.083000 25.17 5.559 27.80
 50    2.330  63.4200  -1.089000 26.12 7.076 33.07
 51    1.619  30.3400  -2.042000 22.59 5.599 30.62
 52    2.627  28.3800   0.496900 23.64 6.058 34.04
 53    2.567  38.7700  12.160000 25.72 6.375 40.79
 54    2.830  23.2800  -1.804000 27.34 5.641 34.24
 55    3.688  92.8500  17.460000 26.33 7.766 43.12
 56    2.915  12.2100  -5.323000 23.98 5.610 30.09
 57    3.523  77.8100  12.120000 24.12 7.341 37.35
 58    1.969   1.1180 -21.080000 23.41 5.636 19.38
 59    2.554  53.5100   6.381000 23.70 6.224 35.92
 60    2.382  55.8600   6.352000 24.19 6.931 33.81
 61    2.729  49.5500   9.839000 24.73 6.580 36.22
 62    1.984  29.3300  -3.018000 24.62 5.773 33.67
 63    3.485  31.4400  -0.458700 23.44 5.908 32.67
 64    3.038  55.2400  11.010000 24.96 6.826 36.95
 65    2.318   9.7870 -13.480000 26.59 6.085 27.42
 66    2.911  98.7000  14.640000 26.21 7.354 44.51
 67    3.191  -0.5999   0.238500 26.73 5.683 33.78
 68    2.817  35.5000   7.595000 25.47 6.595 37.69
 69    2.761  46.4300  -1.749000 25.98 6.475 32.63
 70    2.628  77.2700  10.050000 23.68 7.342 35.86
 71    2.832  39.0400   0.964400 24.91 5.946 36.08
 72    2.786  40.9700   7.740000 25.56 5.925 39.49
